text,label
Your account has been compromised. Click here to reset.,1
"Hey method, are we still on for lunch?",0
URGENT: Verify your bank details immediately.,1
See you at the meeting tomorrow.,0
You have won a lottery! Claim now!,1
Can you review this code?,0
IRS alert: Tax fraud detected.,1
Happy birthday! Have a great day.,0
Click this link to claim your prize.,1
Don't forget to buy milk.,0
Security Alert: Unusual sign-in activity detected.,1
"Hi, checking in on the project status.",0
CONGRATULATIONS! You've been selected for a cash prize.,1
Can we reschedule our call to 3pm?,0
Final Notice: Your package delivery failed. pay fee now.,1
Are you coming to the party tonight?,0
WINNER! Apple iPhone 15 Pro waiting for you.,1
Just sent you the files via email.,0
Your subscription is expiring. Renew immediately.,1
Let's grab coffee later.,0
Limited time offer! 90% off on all items.,1
Meeting minutes attached.,0
Suspicious Login Attempt. Secur your account.,1
Did you see the game last night?,0
Verify your identity to avoid account lock.,1
Please reply with your confirmation.,0
You have a new voicemail from unknown caller.,1
Thanks for your help yesterday.,0
Refund processed. Click to accept.,1
What time is the movie?,0
Your account has been compromised. Click here to reset.,1
"Hey method, are we still on for lunch?",0
URGENT: Verify your bank details immediately.,1
See you at the meeting tomorrow.,0
You have won a lottery! Claim now!,1
Can you review this code?,0
IRS alert: Tax fraud detected.,1
Happy birthday! Have a great day.,0
Click this link to claim your prize.,1
Don't forget to buy milk.,0
Security Alert: Unusual sign-in activity detected.,1
"Hi, checking in on the project status.",0
CONGRATULATIONS! You've been selected for a cash prize.,1
Can we reschedule our call to 3pm?,0
Final Notice: Your package delivery failed. pay fee now.,1
Are you coming to the party tonight?,0
WINNER! Apple iPhone 15 Pro waiting for you.,1
Just sent you the files via email.,0
Your subscription is expiring. Renew immediately.,1
Let's grab coffee later.,0
Limited time offer! 90% off on all items.,1
Meeting minutes attached.,0
Suspicious Login Attempt. Secur your account.,1
Did you see the game last night?,0
Verify your identity to avoid account lock.,1
Please reply with your confirmation.,0
You have a new voicemail from unknown caller.,1
Thanks for your help yesterday.,0
Refund processed. Click to accept.,1
What time is the movie?,0
Your account has been compromised. Click here to reset.,1
"Hey method, are we still on for lunch?",0
URGENT: Verify your bank details immediately.,1
See you at the meeting tomorrow.,0
You have won a lottery! Claim now!,1
Can you review this code?,0
IRS alert: Tax fraud detected.,1
Happy birthday! Have a great day.,0
Click this link to claim your prize.,1
Don't forget to buy milk.,0
Security Alert: Unusual sign-in activity detected.,1
"Hi, checking in on the project status.",0
CONGRATULATIONS! You've been selected for a cash prize.,1
Can we reschedule our call to 3pm?,0
Final Notice: Your package delivery failed. pay fee now.,1
Are you coming to the party tonight?,0
WINNER! Apple iPhone 15 Pro waiting for you.,1
Just sent you the files via email.,0
Your subscription is expiring. Renew immediately.,1
Let's grab coffee later.,0
Limited time offer! 90% off on all items.,1
Meeting minutes attached.,0
Suspicious Login Attempt. Secur your account.,1
Did you see the game last night?,0
Verify your identity to avoid account lock.,1
Please reply with your confirmation.,0
You have a new voicemail from unknown caller.,1
Thanks for your help yesterday.,0
Refund processed. Click to accept.,1
What time is the movie?,0
Your account has been compromised. Click here to reset.,1
"Hey method, are we still on for lunch?",0
URGENT: Verify your bank details immediately.,1
See you at the meeting tomorrow.,0
You have won a lottery! Claim now!,1
Can you review this code?,0
IRS alert: Tax fraud detected.,1
Happy birthday! Have a great day.,0
Click this link to claim your prize.,1
Don't forget to buy milk.,0
Security Alert: Unusual sign-in activity detected.,1
"Hi, checking in on the project status.",0
CONGRATULATIONS! You've been selected for a cash prize.,1
Can we reschedule our call to 3pm?,0
Final Notice: Your package delivery failed. pay fee now.,1
Are you coming to the party tonight?,0
WINNER! Apple iPhone 15 Pro waiting for you.,1
Just sent you the files via email.,0
Your subscription is expiring. Renew immediately.,1
Let's grab coffee later.,0
Limited time offer! 90% off on all items.,1
Meeting minutes attached.,0
Suspicious Login Attempt. Secur your account.,1
Did you see the game last night?,0
Verify your identity to avoid account lock.,1
Please reply with your confirmation.,0
You have a new voicemail from unknown caller.,1
Thanks for your help yesterday.,0
Refund processed. Click to accept.,1
What time is the movie?,0
